row_id,study,arxiv_id,year,benchmark,backbone,scale_band,n_agents,mechanism,acc_mas,acc_base,baseline_type,delta_acc,R_est,R_source,notes,pub_status,domain,split,sampling_method,n_items,eg_tier,attribution_flag
G06,i-MedRAG,2605.17101,2026,MedMCQA,deepseek-v3.1,S4_35-90B,1,rag-single-agent,65.65,71.69,same-backbone-CoT-noRAG,-6.04,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G07,SEMA-RAG,2605.17101,2026,MedQA,deepseek-v3.1,S4_35-90B,3,rag-multi-agent,89.95,77.53,same-backbone-CoT-noRAG,12.42,27.3,reported-token,"SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照 | 【Epoch3 补】原文 token：CoT 713.7 vs SEMA-RAG 19,488.4 ≈ 27.3×",published:Findings ACL 2026,medical,test,,,primary,
G08,SEMA-RAG,2605.17101,2026,MedMCQA,deepseek-v3.1,S4_35-90B,3,rag-multi-agent,75.09,71.69,same-backbone-CoT-noRAG,3.40,27.3,reported-token,"SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照 | 【Epoch3 补】原文 token：CoT 713.7 vs SEMA-RAG 19,488.4 ≈ 27.3×",published:Findings ACL 2026,medical,test,,,primary,
G09,MedCPT,2605.17101,2026,MedQA,kimi-k2,S3_10-35B,1,rag-single-agent,80.68,77.85,same-backbone-CoT-noRAG,2.83,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G10,MedCPT,2605.17101,2026,MedMCQA,kimi-k2,S3_10-35B,1,rag-single-agent,73.85,72.08,same-backbone-CoT-noRAG,1.77,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G11,MedRAG,2605.17101,2026,MedQA,kimi-k2,S3_10-35B,1,rag-single-agent,81.54,77.85,same-backbone-CoT-noRAG,3.69,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G12,MedRAG,2605.17101,2026,MedMCQA,kimi-k2,S3_10-35B,1,rag-single-agent,73.20,72.08,same-backbone-CoT-noRAG,1.12,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G13,i-MedRAG,2605.17101,2026,MedQA,kimi-k2,S3_10-35B,1,rag-single-agent,81.78,77.85,same-backbone-CoT-noRAG,3.93,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G14,i-MedRAG,2605.17101,2026,MedMCQA,kimi-k2,S3_10-35B,1,rag-single-agent,74.13,72.08,same-backbone-CoT-noRAG,2.05,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G15,SEMA-RAG,2605.17101,2026,MedQA,kimi-k2,S3_10-35B,3,rag-multi-agent,86.41,77.85,same-backbone-CoT-noRAG,8.56,27.3,reported-token,"SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照 | 【Epoch3 补】原文 token：CoT 713.7 vs SEMA-RAG 19,488.4 ≈ 27.3×",published:Findings ACL 2026,medical,test,,,primary,
G16,SEMA-RAG,2605.17101,2026,MedMCQA,kimi-k2,S3_10-35B,3,rag-multi-agent,76.07,72.08,same-backbone-CoT-noRAG,3.99,27.3,reported-token,"SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照 | 【Epoch3 补】原文 token：CoT 713.7 vs SEMA-RAG 19,488.4 ≈ 27.3×",published:Findings ACL 2026,medical,test,,,primary,
J01,majority-vote,2606.15419,2026,HeadQA,5 open models 7B-20B,S2_4-10B/S3_10-35B,2-5,majority-vote,84.43,83.61,best-single-agent,0.82,3,derived,JAMIA 2026 表2 投票臂最佳组合(3)+(4)+(5)【Epoch3 修正：此前误取 peer-review 区块的值】,published:JAMIA 2026,medical,test,,,primary,
J02,peer-review-judge,2606.15419,2026,HeadQA,5 open models 7B-20B,S2_4-10B/S3_10-35B,2-5,peer-review-judge,86.07,83.61,best-single-agent,2.46,6,derived,JAMIA 2026 表2 judge 臂最佳组合【Epoch3 修正 MedQA 取值 82.72】,published:JAMIA 2026,medical,test,,,primary,
J03,peer-review-judge,2606.15419,2026,HeadQA,5 open models 7B-20B,S2_4-10B/S3_10-35B,2-5,judge-vs-vote,86.07,84.43,majority-vote-arm,1.64,2.7,derived,judge 臂相对 vote 臂（各自最佳组合）【Epoch3 修正：此前两侧都取了 peer-review 值，+0.71 为错误值】,published:JAMIA 2026,medical,test,,,primary,
J04,majority-vote,2606.15419,2026,MedQA,5 open models 7B-20B,S2_4-10B/S3_10-35B,2-5,majority-vote,78.32,79.03,best-single-agent,-0.71,3,derived,JAMIA 2026 表2 投票臂最佳组合(3)+(4)+(5)【Epoch3 修正：此前误取 peer-review 区块的值】,published:JAMIA 2026,medical,test,,,primary,
J05,peer-review-judge,2606.15419,2026,MedQA,5 open models 7B-20B,S2_4-10B/S3_10-35B,4,peer-review-judge,82.72,79.03,best-single-agent,3.69,8,derived,JAMIA 2026 表2 judge 臂最佳组合【Epoch3 修正 MedQA 取值 82.72】,published:JAMIA 2026,medical,test,,,primary,
J06,peer-review-judge,2606.15419,2026,MedQA,5 open models 7B-20B,S2_4-10B/S3_10-35B,2-5,judge-vs-vote,82.72,78.32,majority-vote-arm,4.40,2.7,derived,judge 臂相对 vote 臂（各自最佳组合）【Epoch3 修正：此前两侧都取了 peer-review 值，+0.71 为错误值】,published:JAMIA 2026,medical,test,,,primary,
J07,majority-vote,2606.15419,2026,PubMedQA,5 open models 7B-20B,S2_4-10B/S3_10-35B,2-5,majority-vote,73.60,75.40,best-single-agent,-1.80,3,derived,JAMIA 2026 表2 投票臂最佳组合(3)+(4)+(5)【Epoch3 修正：此前误取 peer-review 区块的值】,published:JAMIA 2026,medical,test,,,secondary,
J08,peer-review-judge,2606.15419,2026,PubMedQA,5 open models 7B-20B,S2_4-10B/S3_10-35B,4,peer-review-judge,77.60,75.40,best-single-agent,2.20,6,derived,JAMIA 2026 表2 judge 臂最佳组合【Epoch3 修正 MedQA 取值 82.72】 | 【Epoch4 修正】peer-review 区块 PubMedQA 最大值为 77.60 而非 77.20,published:JAMIA 2026,medical,test,,,secondary,
J09,peer-review-judge,2606.15419,2026,PubMedQA,5 open models 7B-20B,S2_4-10B/S3_10-35B,2-5,judge-vs-vote,77.60,73.60,majority-vote-arm,4.00,2.7,derived,judge 臂相对 vote 臂（各自最佳组合）【Epoch3 修正：此前两侧都取了 peer-review 值，+0.71 为错误值】 | 【Epoch4 修正】随 J08 连带，judge−vote = +4.00,published:JAMIA 2026,medical,test,,,secondary,
C01,CAMEC,ACL2026.acl-long.1781,2026,CMExam,8B (SFT),S2_4-10B,3,complexity-routing+RAG+KG+judge,78.86,74.1,best-single-agent,4.76,,unknown,CAMEC(ACL2026 Long) 表1；最佳单代理基线=HuatuoGPT-o1-7B；提出者自评；难度路由声称可减少专家调用 | 【Epoch5】原文 §Router Training 自述从 CMExam 与 MedQA-CN 的训练集抽 8000 题做 LoRA SFT；且 acc_base 取的是另一模型 HuatuoGPT-o1-7B，非同 backbone 最强单代理 → 移出主分析,published:ACL 2026,medical,test,,,primary,finetuned-on-benchmark-train-split
C02,CAMEC,ACL2026.acl-long.1781,2026,MedQA-CN,8B (SFT),S2_4-10B,3,complexity-routing+RAG+KG+judge,84.15,79.8,best-single-agent,4.35,,unknown,CAMEC(ACL2026 Long) 表1；最佳单代理基线=HuatuoGPT-o1-7B；提出者自评；难度路由声称可减少专家调用 | 【Epoch5】原文 §Router Training 自述从 CMExam 与 MedQA-CN 的训练集抽 8000 题做 LoRA SFT；且 acc_base 取的是另一模型 HuatuoGPT-o1-7B，非同 backbone 最强单代理 → 移出主分析,published:ACL 2026,medical,test,,,primary,finetuned-on-benchmark-train-split
C03,CAMEC,ACL2026.acl-long.1781,2026,CMMLU-Med,8B (SFT),S2_4-10B,3,complexity-routing+RAG+KG+judge,78.51,74.5,best-single-agent,4.01,,unknown,CAMEC(ACL2026 Long) 表1；最佳单代理基线=HuatuoGPT-o1-7B；提出者自评；难度路由声称可减少专家调用 | 【Epoch5】原文 §Router Training 自述从 CMExam 与 MedQA-CN 的训练集抽 8000 题做 LoRA SFT；且 acc_base 取的是另一模型 HuatuoGPT-o1-7B，非同 backbone 最强单代理 → 移出主分析,published:ACL 2026,medical,test,,,primary,finetuned-on-benchmark-train-split
K01,GoA,2604.17148,2026,MMLU-Pro,6-model pool,mixed,2,agent-count-ladder,53.54,54.78,same-study-k3,-1.24,0.67,derived,GoA 表5 top-k 消融：k=2 相对最优 k=3；研究内阶梯（Type B）,published:ICLR 2026,general,,,,background,
K02,GoA,2604.17148,2026,MMLU-Pro,6-model pool,mixed,5,agent-count-ladder,54.65,54.78,same-study-k3,-0.13,1.67,derived,GoA 表5：k=5 相对最优 k=3，多花 67% 调用反而略降——收益递减/转负的直接证据,published:ICLR 2026,general,,,,background,
K03,GoA,2604.17148,2026,GPQA,6-model pool,mixed,2,agent-count-ladder,36.75,39.98,same-study-k3,-3.23,0.67,derived,同上,published:ICLR 2026,general,,,,background,
K04,GoA,2604.17148,2026,GPQA,6-model pool,mixed,5,agent-count-ladder,39.13,39.98,same-study-k3,-0.85,1.67,derived,同上,published:ICLR 2026,general,,,,background,
E01,MEDAGENTS,PMC12057199,2025,EUNACOM,unspecified,S6_closed,,medagents,87.99,87.67,best-single-agent,0.32,17.00,reported,【Epoch3 补漏】BMC Med Educ Table1；最强单代理=CoT+Few-shot 87.67（1.00 call）,published:BMC Med Educ,medical,,,,primary,
E02,VOTING,PMC12057199,2025,EUNACOM,unspecified,S6_closed,,voting,87.22,87.67,best-single-agent,-0.45,6.00,reported,【Epoch3 补漏】BMC Med Educ Table1；最强单代理=CoT+Few-shot 87.67（1.00 call）,published:BMC Med Educ,medical,,,,primary,
E03,BORDA-COUNT,PMC12057199,2025,EUNACOM,unspecified,S6_closed,,borda-count,86.70,87.67,best-single-agent,-0.97,6.00,reported,【Epoch3 补漏】BMC Med Educ Table1；最强单代理=CoT+Few-shot 87.67（1.00 call）,published:BMC Med Educ,medical,,,,primary,
E04,WeightedVoting,PMC12057199,2025,EUNACOM,unspecified,S6_closed,,weightedvoting,86.68,87.67,best-single-agent,-0.99,6.00,reported,【Epoch3 补漏】BMC Med Educ Table1；最强单代理=CoT+Few-shot 87.67（1.00 call）,published:BMC Med Educ,medical,,,,primary,
KA01,MajorityVoting-5,2509.14998,2025,MedQA,GPT-4.1-mini,S6_closed,5,majorityvoting-5,86.49,84.21,best-single-agent,2.28,5.46,reported,KAMAC(EMNLP2025) 表1+表5；最强单代理=+CoT 84.21（2.20 API calls）,published:EMNLP 2025,medical,,,,primary,
KA02,Consensus-5,2509.14998,2025,MedQA,GPT-4.1-mini,S6_closed,5,consensus-5,80.68,84.21,best-single-agent,-3.53,,unknown,KAMAC(EMNLP2025) 表1+表5；最强单代理=+CoT 84.21（2.20 API calls）,published:EMNLP 2025,medical,,,,primary,
KA03,MDAgents,2509.14998,2025,MedQA,GPT-4.1-mini,S6_closed,,mdagents,87.74,84.21,best-single-agent,3.53,1.52,reported,KAMAC(EMNLP2025) 表1+表5；最强单代理=+CoT 84.21（2.20 API calls）,published:EMNLP 2025,medical,,,,primary,
KA04,KAMAC,2509.14998,2025,MedQA,GPT-4.1-mini,S6_closed,,kamac,88.14,84.21,best-single-agent,3.93,1.16,reported,KAMAC(EMNLP2025) 表1+表5；最强单代理=+CoT 84.21（2.20 API calls）,published:EMNLP 2025,medical,,,,primary,
KA05,KAMAC,2509.14998,2025,MedQA,DeepSeek-R1,S4_35-90B,,kamac,89.63,88.14,best-single-agent,1.49,,unknown,KAMAC 表2；基线=单代理+CoT,published:EMNLP 2025,medical,,,,primary,
KA06,KAMAC-ladder,2509.14998,2025,MedQA,GPT-4.1-mini,S6_closed,3,agent-count-ladder,87.98,88.14,same-study-1agent,-0.16,,derived,"KAMAC 表3 初始代理数阶梯：1→88.14, 3→87.98, 5→80.28（代理越多越差）",published:EMNLP 2025,medical,,,,primary,
KA07,KAMAC-ladder,2509.14998,2025,MedQA,GPT-4.1-mini,S6_closed,5,agent-count-ladder,80.28,88.14,same-study-1agent,-7.86,,derived,"KAMAC 表3 初始代理数阶梯：1→88.14, 3→87.98, 5→80.28（代理越多越差）",published:EMNLP 2025,medical,,,,primary,
CL01,ReConcile,2603.26182,2026,MedQA,GPT-5.2,S6_closed,,mas,89.24,89.63,best-single-agent,-0.39,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,primary,
CL02,AutoGen,2603.26182,2026,MedQA,GPT-5.2,S6_closed,,mas,87.67,89.63,best-single-agent,-1.96,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,primary,
CL03,MedAgents,2603.26182,2026,MedQA,GPT-5.2,S6_closed,,mas,87.90,89.63,best-single-agent,-1.73,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,primary,
CL04,MDAgents,2603.26182,2026,MedQA,GPT-5.2,S6_closed,,mas,89.32,89.63,best-single-agent,-0.31,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,primary,
CL05,ColaCare,2603.26182,2026,MedQA,GPT-5.2,S6_closed,,mas,89.32,89.63,best-single-agent,-0.31,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,primary,
CL06,MedChain,2603.26182,2026,MedQA,GPT-5.2,S6_closed,,mas,90.02,89.63,best-single-agent,0.39,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,primary,
CL07,ClinicalAgents,2603.26182,2026,MedQA,GPT-5.2,S6_closed,,mas,89.95,89.63,best-single-agent,0.32,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,primary,
CL08,ReConcile,2603.26182,2026,PubMedQA,GPT-5.2,S6_closed,,mas,76.40,74.60,best-single-agent,1.80,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL09,AutoGen,2603.26182,2026,PubMedQA,GPT-5.2,S6_closed,,mas,71.40,74.60,best-single-agent,-3.20,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL10,MedAgents,2603.26182,2026,PubMedQA,GPT-5.2,S6_closed,,mas,72.40,74.60,best-single-agent,-2.20,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL11,MDAgents,2603.26182,2026,PubMedQA,GPT-5.2,S6_closed,,mas,74.20,74.60,best-single-agent,-0.40,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL12,ColaCare,2603.26182,2026,PubMedQA,GPT-5.2,S6_closed,,mas,72.40,74.60,best-single-agent,-2.20,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL13,MedChain,2603.26182,2026,PubMedQA,GPT-5.2,S6_closed,,mas,74.20,74.60,best-single-agent,-0.40,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL14,ClinicalAgents,2603.26182,2026,PubMedQA,GPT-5.2,S6_closed,,mas,76.60,74.60,best-single-agent,2.00,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL15,ReConcile,2603.26182,2026,MedBullets,GPT-5.2,S6_closed,,mas,80.52,80.19,best-single-agent,0.33,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL16,AutoGen,2603.26182,2026,MedBullets,GPT-5.2,S6_closed,,mas,79.55,80.19,best-single-agent,-0.64,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL17,MedAgents,2603.26182,2026,MedBullets,GPT-5.2,S6_closed,,mas,80.84,80.19,best-single-agent,0.65,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL18,MDAgents,2603.26182,2026,MedBullets,GPT-5.2,S6_closed,,mas,77.27,80.19,best-single-agent,-2.92,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL19,ColaCare,2603.26182,2026,MedBullets,GPT-5.2,S6_closed,,mas,76.62,80.19,best-single-agent,-3.57,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL20,MedChain,2603.26182,2026,MedBullets,GPT-5.2,S6_closed,,mas,81.82,80.19,best-single-agent,1.63,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
CL21,ClinicalAgents,2603.26182,2026,MedBullets,GPT-5.2,S6_closed,,mas,82.79,80.19,best-single-agent,2.60,,unknown,ClinicalAgents(KDD2026) 表9；同 backbone GPT-5.2；表8 有 token/时间/USD,published:KDD 2026,medical,,,,secondary,
NE01,agentic-neuro,2508.14063,2025,NeuroBoard-MCQ,o1,S6_closed,,multi-agent,94.60,90.90,same-backbone-single,3.70,,unknown,PLOS Digit Health 2025 表1；305 题以色列神经科专科委员会 MCQ；同 backbone 对照,published:PLOS Digit Health,medical,,,,primary,
NE02,agentic-neuro,2508.14063,2025,NeuroBoard-MCQ,GPT-4o,S6_closed,,multi-agent,89.30,80.50,same-backbone-single,8.80,,unknown,PLOS Digit Health 2025 表1；305 题以色列神经科专科委员会 MCQ；同 backbone 对照,published:PLOS Digit Health,medical,,,,primary,
NE03,agentic-neuro,2508.14063,2025,NeuroBoard-MCQ,LLaMA3.3-70B,S4_35-90B,,multi-agent,89.20,69.50,same-backbone-single,19.70,,unknown,PLOS Digit Health 2025 表1；305 题以色列神经科专科委员会 MCQ；同 backbone 对照,published:PLOS Digit Health,medical,,,,primary,
NE04,rag-only,2508.14063,2025,NeuroBoard-MCQ,o1,S6_closed,1,rag-single-agent,92.20,90.90,same-backbone-single,1.30,,unknown,PLOS Digit Health 2025 表1；305 题以色列神经科专科委员会 MCQ；同 backbone 对照（RAG 中间层，C3.2 对照）,published:PLOS Digit Health,medical,,,,primary,
NE05,rag-only,2508.14063,2025,NeuroBoard-MCQ,GPT-4o,S6_closed,1,rag-single-agent,87.30,80.50,same-backbone-single,6.80,,unknown,PLOS Digit Health 2025 表1；305 题以色列神经科专科委员会 MCQ；同 backbone 对照（RAG 中间层，C3.2 对照）,published:PLOS Digit Health,medical,,,,primary,
NE06,rag-only,2508.14063,2025,NeuroBoard-MCQ,LLaMA3.3-70B,S4_35-90B,1,rag-single-agent,73.40,69.50,same-backbone-single,3.90,,unknown,PLOS Digit Health 2025 表1；305 题以色列神经科专科委员会 MCQ；同 backbone 对照（RAG 中间层，C3.2 对照）,published:PLOS Digit Health,medical,,,,primary,
AE01,MDAgents,2604.08927,2026,ClinicalBench,DeepSeek-V3.2,S4_35-90B,,mas,25.73,39.60,best-single-agent,-13.87,3.70,reported-experts,Aegle(ACL2026) 表3；同 backbone DeepSeek-V3.2；最强单代理=CoT 39.60；表4 给 experts/case,published:ACL 2026,medical,,,,evidence-map,
AE02,MedAgents,2604.08927,2026,ClinicalBench,DeepSeek-V3.2,S4_35-90B,,mas,39.20,39.60,best-single-agent,-0.40,4.97,reported-experts,Aegle(ACL2026) 表3；同 backbone DeepSeek-V3.2；最强单代理=CoT 39.60；表4 给 experts/case,published:ACL 2026,medical,,,,evidence-map,
AE03,Aegle,2604.08927,2026,ClinicalBench,DeepSeek-V3.2,S4_35-90B,,mas,46.93,39.60,best-single-agent,7.33,2.42,reported-experts,Aegle(ACL2026) 表3；同 backbone DeepSeek-V3.2；最强单代理=CoT 39.60；表4 给 experts/case,published:ACL 2026,medical,,,,evidence-map,
AF1De,Debate,2609.01045,2026,MedQA,Llama-3.1-8B,S2_4-10B,,mas,44.80,47.30,best-single-agent,-2.50,,unknown,AgentFactory(PRICAI2026) 表1 MedQA 列；成本为 8 基准均值 | 【Epoch4 修正】最强单代理改为同表 Reflexion（47.3），此前误取 CoT,published:PRICAI 2026,medical,,,,primary,
AF1AD,ADAS,2609.01045,2026,MedQA,Llama-3.1-8B,S2_4-10B,,mas,46.70,47.30,best-single-agent,-0.60,,unknown,AgentFactory(PRICAI2026) 表1 MedQA 列；成本为 8 基准均值 | 【Epoch4 修正】最强单代理改为同表 Reflexion（47.3），此前误取 CoT,published:PRICAI 2026,medical,,,,primary,
AF1AF,AFlow,2609.01045,2026,MedQA,Llama-3.1-8B,S2_4-10B,,mas,45.80,47.30,best-single-agent,-1.50,,unknown,AgentFactory(PRICAI2026) 表1 MedQA 列；成本为 8 基准均值 | 【Epoch4 修正】最强单代理改为同表 Reflexion（47.3），此前误取 CoT,published:PRICAI 2026,medical,,,,primary,
AF1Ag,AgentFactory,2609.01045,2026,MedQA,mixed(Llama-3.1-8B + GPT-4o-mini),S2_4-10B,,mas,65.40,47.30,best-single-agent,18.10,,unknown,AgentFactory(PRICAI2026) 表1 MedQA 列；成本为 8 基准均值 | 【Epoch4 修正】最强单代理改为同表 Reflexion（47.3），此前误取 CoT | 【Epoch4】该系统动态调用两个 backbone 且微调数据含评测基准训练集 → 违反归因分离，移出主分析,published:PRICAI 2026,medical,,,,primary,finetuned-on-benchmark-train-split
AF2De,Debate,2609.01045,2026,MedQA,GPT-4o-mini,S6_closed,,mas,77.30,78.90,best-single-agent,-1.60,,unknown,AgentFactory(PRICAI2026) 表1 MedQA 列；成本为 8 基准均值 | 【Epoch4 修正】最强单代理改为同表 Reflexion（78.9），此前误取 CoT,published:PRICAI 2026,medical,,,,primary,
AF2AD,ADAS,2609.01045,2026,MedQA,GPT-4o-mini,S6_closed,,mas,77.50,78.90,best-single-agent,-1.40,,unknown,AgentFactory(PRICAI2026) 表1 MedQA 列；成本为 8 基准均值 | 【Epoch4 修正】最强单代理改为同表 Reflexion（78.9），此前误取 CoT,published:PRICAI 2026,medical,,,,primary,
AF2AF,AFlow,2609.01045,2026,MedQA,GPT-4o-mini,S6_closed,,mas,79.30,78.90,best-single-agent,0.40,,unknown,AgentFactory(PRICAI2026) 表1 MedQA 列；成本为 8 基准均值 | 【Epoch4 修正】最强单代理改为同表 Reflexion（78.9），此前误取 CoT,published:PRICAI 2026,medical,,,,primary,
AF2Ag,AgentFactory,2609.01045,2026,MedQA,mixed(Llama-3.1-8B + GPT-4o-mini),S6_closed,,mas,86.80,78.90,best-single-agent,7.90,,unknown,AgentFactory(PRICAI2026) 表1 MedQA 列；成本为 8 基准均值 | 【Epoch4 修正】最强单代理改为同表 Reflexion（78.9），此前误取 CoT | 【Epoch4】该系统动态调用两个 backbone 且微调数据含评测基准训练集 → 违反归因分离，移出主分析,published:PRICAI 2026,medical,,,,primary,finetuned-on-benchmark-train-split
MM01,MAM-discussion,2506.19835,2025,MedQA,Medichat-Llama3-8B,S2_4-10B,,role+discussion,32.50,31.00,same-study-roles-only,1.50,,unknown,MAM(Findings ACL2025) 表7 增量消融：Direct→+Roles→+Discussion→+Retrieval；多代理讨论净增量,published:Findings ACL 2025,medical,,,,primary,
MM02,MAM-discussion,2506.19835,2025,PubMedQA,Medichat-Llama3-8B,S2_4-10B,,role+discussion,77.00,69.50,same-study-roles-only,7.50,,unknown,MAM(Findings ACL2025) 表7 增量消融：Direct→+Roles→+Discussion→+Retrieval,published:Findings ACL 2025,medical,,,,secondary,
MB01,MedAgents,2503.07459,2026,MedQA-hard,GPT-4o-mini,S6_closed,,role+synthesis,25.3,31.0,best-single-agent,-5.7,,unknown,"MedAgentsBench(Patterns 2026) Table 4; Hard set; best single-agent = 同表最强非多代理配置(Self-Refine 或 MedPrompt); 3-run mean; SPO/AFlow only on GPT-4o-mini/GPT-4o; 2-round protocol, MDAgents fixed 3 roles",published:Patterns 2026,medical,hard-curated,difficulty-curated,100,primary,
MB02,MDAgents,2503.07459,2026,MedQA-hard,GPT-4o-mini,S6_closed,3,adaptive-collaboration,24.0,31.0,best-single-agent,-7.0,,unknown,"MedAgentsBench(Patterns 2026) Table 4; Hard set; best single-agent = 同表最强非多代理配置(Self-Refine 或 MedPrompt); 3-run mean; SPO/AFlow only on GPT-4o-mini/GPT-4o; 2-round protocol, MDAgents fixed 3 roles",published:Patterns 2026,medical,hard-curated,difficulty-curated,100,primary,
MB03,SPO,2503.07459,2026,MedQA-hard,GPT-4o-mini,S6_closed,,prompt-optimization,17.7,31.0,best-single-agent,-13.3,,unknown,"MedAgentsBench(Patterns 2026) Table 4; Hard set; best single-agent = 同表最强非多代理配置(Self-Refine 或 MedPrompt); 3-run mean; SPO/AFlow only on GPT-4o-mini/GPT-4o; 2-round protocol, MDAgents fixed 3 roles",published:Patterns 2026,medical,hard-curated,difficulty-curated,100,primary,
MB04,AFlow,2503.07459,2026,MedQA-hard,GPT-4o-mini,S6_closed,,workflow-search,32.3,31.0,best-single-agent,1.3,,unknown,"MedAgentsBench(Patterns 2026) Table 4; Hard set; best single-agent = 同表最强非多代理配置(Self-Refine 或 MedPrompt); 3-run mean; SPO/AFlow only on GPT-4o-mini/GPT-4o; 2-round protocol, MDAgents fixed 3 roles",published:Patterns 2026,medical,hard-curated,difficulty-curated,100,primary,
MB05,MedAgents,2503.07459,2026,PubMedQA-hard,GPT-4o-mini,S6_closed,,role+synthesis,12.3,16.3,best-single-agent,-4.0,,unknown,"MedAgentsBench(Patterns 2026) Table 4; Hard set; best single-agent=MultiPersona; 3-run mean; SPO/AFlow only on GPT-4o-mini/GPT-4o; 2-round protocol, MDAgents fixed 3 roles",published:Patterns 2026,medical,hard-curated,difficulty-curated,100,secondary,
MB06,MDAgents,2503.07459,2026,PubMedQA-hard,GPT-4o-mini,S6_closed,3,adaptive-collaboration,17.0,16.3,best-single-agent,0.7,,unknown,"MedAgentsBench(Patterns 2026) Table 4; Hard set; best single-agent=MultiPersona; 3-run mean; SPO/AFlow only on GPT-4o-mini/GPT-4o; 2-round protocol, MDAgents fixed 3 roles",published:Patterns 2026,medical,hard-curated,difficulty-curated,100,secondary,
MB07,SPO,2503.07459,2026,PubMedQA-hard,GPT-4o-mini,S6_closed,,prompt-optimization,25.7,16.3,best-single-agent,9.4,,unknown,"MedAgentsBench(Patterns 2026) Table 4; Hard set; best single-agent=MultiPersona; 3-run mean; SPO/AFlow only on GPT-4o-mini/GPT-4o; 2-round protocol, MDAgents fixed 3 roles",published:Patterns 2026,medical,hard-curated,difficulty-curated,100,secondary,
